Market,Start,End,Closure,Arrested,Guns,Fraud,Hacks,Doxed
1776,4/19/2014,10/2/2014,voluntary,FALSE,FALSE,FALSE,0,FALSE
Abraxas,12/13/2014,11/5/2015,scam,FALSE,FALSE,TRUE,0,FALSE
Agape,5/29/2015,6/4/2015,voluntary,FALSE,FALSE,FALSE,0,FALSE
Agora,12/3/2013,9/6/2015,voluntary,FALSE,TRUE,TRUE,0,FALSE
Alpaca Marketplace,4/20/2014,11/5/2014,scam,FALSE,TRUE,FALSE,1,FALSE
AlphaBay,12/22/2014,7/5/2017,raided,TRUE,TRUE,TRUE,0,FALSE
Amazon Dark,6/8/2015,10/25/2015,scam,FALSE,FALSE,FALSE,0,FALSE
Andromeda,4/5/2014,11/18/2014,scam,FALSE,TRUE,TRUE,0,FALSE
Area51,6/20/2014,1/24/2015,scam,FALSE,TRUE,TRUE,0,FALSE
Armory Vendor Market,2/6/2014,4/7/2014,scam,FALSE,TRUE,FALSE,1,FALSE
Atlantis,3/26/2013,9/20/2013,scam,FALSE,FALSE,FALSE,0,FALSE
Black Goblin Market,2/3/2014,2/4/2014,hacked,FALSE,TRUE,TRUE,0,TRUE
Black Services Market,12/2/2013,2/1/2014,scam,FALSE,TRUE,TRUE,0,FALSE
BlackBank Market,2/5/2014,5/18/2015,scam,FALSE,TRUE,TRUE,0,FALSE
BlackBox Market,11/12/2013,2/1/2014,voluntary,FALSE,TRUE,TRUE,0,FALSE
BlackMarket Reloaded,6/30/2011,12/2/2013,hacked,FALSE,TRUE,TRUE,1,FALSE
Blue Sky,12/3/2013,11/5/2014,raided,FALSE,FALSE,FALSE,0,FALSE
Breaking Bad,2/1/2014,2/6/2014,voluntary,FALSE,TRUE,TRUE,0,FALSE
Budster,10/10/2013,10/20/2013,scam,FALSE,FALSE,FALSE,1,TRUE
BuyItNow,4/30/2013,2/17/2014,voluntary,FALSE,TRUE,FALSE,0,FALSE
Cannabis Road,2/3/2014,2/7/2014,hacked,FALSE,FALSE,FALSE,1,TRUE
Cannabis Road 2,3/28/2014,8/25/2014,hacked,FALSE,FALSE,FALSE,1,FALSE
Cannabis Road 3,10/6/2014,11/5/2014,scam,FALSE,FALSE,FALSE,0,FALSE
Cantina,1/20/2014,2/7/2014,hacked,FALSE,TRUE,TRUE,3,TRUE
Cloud-Nine,2/11/2014,11/5/2014,raided,FALSE,FALSE,TRUE,0,FALSE
Crypto Market,2/14/2015,2/12/2017,scam,FALSE,TRUE,TRUE,0,FALSE
DarkBay,1/30/2014,5/1/2014,voluntary,FALSE,FALSE,TRUE,0,TRUE
Darknet Heroes League,5/27/2015,8/5/2017,hacked,FALSE,,,0,FALSE
Darknet Nation,2/19/2014,3/1/2014,hacked,FALSE,TRUE,TRUE,0,TRUE
Deepbay,6/30/2013,11/4/2013,scam,FALSE,FALSE,FALSE,0,FALSE
Deepzon,5/14/2014,7/13/2014,voluntary,FALSE,TRUE,TRUE,0,FALSE
Doge Road,1/18/2014,3/13/2014,scam,FALSE,FALSE,TRUE,0,FALSE
Dream Market,11/15/2013,4/30/2019,voluntary,FALSE,FALSE,TRUE,0,FALSE
drugslist,1/8/2014,2/28/2014,scam,FALSE,FALSE,FALSE,1,FALSE
East India Company,4/28/2015,1/1/2016,scam,FALSE,FALSE,FALSE,1,FALSE
evolution,1/14/2014,3/14/2015,scam,FALSE,TRUE,TRUE,0,FALSE
EXXTACY,3/23/2014,3/24/2014,hacked,FALSE,,,0,TRUE
FloMarket,12/1/2013,1/1/2014,hacked,FALSE,,,2,FALSE
Free Market,1/14/2015,2/26/2015,voluntary,FALSE,FALSE,FALSE,0,FALSE
FreeBay,12/1/2013,2/28/2014,voluntary,FALSE,FALSE,TRUE,0,FALSE
Freedom Market,9/16/2014,9/25/2014,voluntary,FALSE,FALSE,FALSE,0,FALSE
GreyRoad,1/4/2014,2/1/2014,voluntary,FALSE,TRUE,TRUE,0,FALSE
Hansa,3/9/2014,3/20/2014,raided,TRUE,TRUE,TRUE,0,TRUE
Havana/Absolem,4/13/2015,5/22/2015,hacked,FALSE,FALSE,FALSE,0,FALSE
Haven,5/5/2015,6/6/2015,scam,FALSE,TRUE,TRUE,0,FALSE
Horizon Market,5/23/2015,7/8/2015,scam,FALSE,TRUE,TRUE,0,FALSE
Hydra,3/27/2014,11/5/2014,raided,TRUE,TRUE,TRUE,0,FALSE
Ironclad,3/17/2015,3/25/2015,scam,FALSE,TRUE,TRUE,0,FALSE
Kiss,2/19/2015,5/16/2015,scam,FALSE,FALSE,FALSE,1,FALSE
Middle Earth Marketplace,6/22/2014,11/4/2015,scam,FALSE,FALSE,TRUE,0,FALSE
Mr Nice Guy,3/29/2014,4/20/2014,voluntary,FALSE,FALSE,FALSE,0,TRUE
Mr Nice Guy 2,2/21/2015,10/14/2015,scam,FALSE,FALSE,FALSE,0,TRUE
Nucleus Marketplace,10/24/2014,4/13/2016,scam,FALSE,TRUE,TRUE,0,FALSE
Onionshop,5/18/2014,9/17/2014,hacked,FALSE,TRUE,TRUE,1,FALSE
Outlaw Market,12/29/2013,5/16/2017,hacked,FALSE,TRUE,FALSE,3,FALSE
Oxygen,4/16/2015,8/27/2015,scam,FALSE,FALSE,TRUE,1,FALSE
Panacea,10/27/2014,2/13/2015,voluntary,FALSE,FALSE,FALSE,1,TRUE
Pandora,10/21/2013,8/19/2014,scam,FALSE,FALSE,TRUE,2,FALSE
Pigeon Market,4/14/2014,5/7/2014,voluntary,FALSE,TRUE,TRUE,0,FALSE
Pirate Market,11/29/2013,8/15/2014,scam,FALSE,TRUE,TRUE,0,FALSE
Poseidon,6/2/2015,6/29/2015,scam,FALSE,TRUE,TRUE,0,TRUE
Project Black Flag,10/14/2013,10/28/2013,scam,FALSE,FALSE,TRUE,1,FALSE
Red Sun Marketplace,3/20/2014,3/23/2014,hacked,FALSE,FALSE,TRUE,1,FALSE
Sanitarium Market,2/20/2014,3/28/2014,voluntary,FALSE,,,0,FALSE
Sheep Marketplace,2/28/2013,11/29/2013,scam,TRUE,FALSE,TRUE,1,TRUE
Silk Road 1,1/31/2011,10/2/2013,raided,TRUE,FALSE,FALSE,2,TRUE
Silk Road 2,11/6/2013,11/5/2014,raided,TRUE,FALSE,FALSE,2,TRUE
Silk Street,4/8/2014,8/4/2014,scam,FALSE,FALSE,FALSE,0,FALSE
Simply Bear,6/20/2015,10/21/2015,scam,FALSE,FALSE,TRUE,0,FALSE
The Marketplace,11/28/2013,11/9/2014,voluntary,FALSE,FALSE,TRUE,0,FALSE
TOM,5/10/2014,12/18/2014,scam,FALSE,FALSE,FALSE,0,FALSE
Topix 2,3/25/2014,11/5/2014,voluntary,FALSE,FALSE,FALSE,0,FALSE
TorBay,12/18/2013,4/20/2014,voluntary,FALSE,FALSE,TRUE,0,TRUE
TorBazaar,1/26/2014,11/5/2014,raided,FALSE,TRUE,TRUE,0,FALSE
TorEscrow,2/2/2014,4/19/2014,scam,FALSE,FALSE,TRUE,0,FALSE
TorMarket,11/7/2013,12/22/2013,scam,FALSE,FALSE,TRUE,1,FALSE
Tortuga,12/16/2013,1/5/2014,voluntary,FALSE,,,0,FALSE
Tortuga 2,4/23/2014,6/17/2014,voluntary,FALSE,FALSE,FALSE,0,FALSE
Underground Market,4/9/2014,8/26/2014,voluntary,FALSE,TRUE,TRUE,0,FALSE
Utopia,2/3/2014,2/11/2014,raided,TRUE,TRUE,TRUE,0,TRUE
White Rabbit,12/23/2013,2/1/2014,scam,FALSE,TRUE,TRUE,0,TRUE
Zanzibar Spice,5/7/2015,6/14/2015,voluntary,FALSE,FALSE,FALSE,0,FALSE
